%------------ Rayleigh Benard grid32 full label results
% Ra, delta, label, KE(end), VTY(end), flag
1540,1e-12,1,0.00469359,0.0297663,0
1540,1e-08,1,0.00469359,0.0297663,0
1540,1e-05,1,0.00469652,0.0297849,0
1540,0.0001,1,0.00472262,0.0299509,0
1540,0.001,1,0.00496379,0.0314849,0
1540,0.01,1,0.00651283,0.0413564,0
1545,1e-16,1,0.00512803,0.032523,0
1545,1e-12,1,0.00512803,0.032523,0
1545,1e-08,1,0.00512803,0.0325231,0
1545,1e-05,1,0.0051305,0.0325387,0
1545,0.0001,1,0.00515255,0.032679,0
1545,0.001,1,0.00535981,0.033998,0
1545,0.01,1,0.0067806,0.0430566,0
1550,1e-16,1,0.0055264,0.0350513,0
1550,1e-12,1,0.00552697,0.0350549,0
1550,1e-08,1,0.00552697,0.0350549,0
1550,1e-05,1,0.0055291,0.0350685,0
1550,0.0001,1,0.00554823,0.0351903,0
1550,0.001,1,0.00573014,0.0363485,0
1550,0.01,1,0.00704217,0.0447178,0
1555,1e-16,1,0.00589763,0.0374076,0
1555,1e-12,1,0.00589762,0.0374076,0
1555,1e-08,1,0.00589763,0.0374076,0
1555,1e-05,1,0.00589951,0.0374196,0
1555,0.0001,1,0.00591644,0.0375274,0
1555,0.001,1,0.00607871,0.0385612,0
1555,0.01,1,0.00729756,0.0463399,0
1560,1e-16,1,0.00624505,0.0396132,0
1560,1e-12,1,0.00624505,0.0396132,0
1560,1e-08,1,0.00624505,0.0396132,0
1560,1e-05,1,0.00624675,0.039624,0
1560,0.0001,1,0.00626194,0.0397208,0
1560,0.001,1,0.00640858,0.0406555,0
1560,0.01,1,0.00754687,0.0479237,0
1565,1e-16,1,0.00657295,0.0416951,0
1565,1e-12,1,0.00657295,0.0416951,0
1565,1e-08,1,0.00657295,0.0416951,0
1565,1e-05,1,0.00657449,0.0417049,0
1565,0.0001,1,0.00658829,0.0417929,0
1565,0.001,1,0.00672219,0.0426469,0
1565,0.01,1,0.00779025,0.0494699,0
1570,1e-16,1,0.0068841,0.0436711,0
1570,1e-12,1,0.0068841,0.043671,0
1570,1e-08,1,0.00688411,0.0436711,0
1570,1e-05,1,0.00688552,0.0436801,0
1570,0.0001,1,0.00689818,0.0437609,0
1570,0.001,1,0.00702152,0.0445478,0
1570,0.01,1,0.00802786,0.0509798,0
1575,1e-16,1,0.00718071,0.0455549,0
1575,1e-12,1,0.00718071,0.0455549,0
1575,1e-08,1,0.00718071,0.0455549,0
1575,1e-05,1,0.00718202,0.0455632,0
1575,0.0001,1,0.00719374,0.045638,0
1575,0.001,1,0.00730816,0.0463685,0
1575,0.01,1,0.00825993,0.0524546,0
1580,1e-16,1,0.00746452,0.0473577,0
1580,1e-12,1,0.00746452,0.0473577,0
1580,1e-08,1,0.00746452,0.0473577,0
1580,1e-05,1,0.00746573,0.0473654,0
1580,0.0001,1,0.00747664,0.0474351,0
1580,0.001,1,0.00758346,0.0481174,0
1580,0.01,1,0.00848664,0.0538956,0
1585,1e-16,1,0.00773693,0.0490884,0
1585,1e-12,1,0.00773693,0.0490884,0
1585,1e-08,1,0.00773693,0.0490884,0
1585,1e-05,1,0.00773807,0.0490956,0
1585,0.0001,1,0.00774829,0.0491609,0
1585,0.001,1,0.00784854,0.0498016,0
1585,0.01,1,0.00870824,0.0553043,0
1590,1e-16,1,0.00799913,0.0507544,0
1590,1e-12,1,0.00799913,0.0507544,0
1590,1e-08,1,0.00799913,0.0507544,0
1590,1e-05,1,0.0080002,0.0507613,0
1590,0.0001,1,0.00800982,0.0508227,0
1590,0.001,1,0.00810434,0.0514271,0
1590,0.01,1,0.00892491,0.0566819,0
1595,1e-16,1,0.0082521,0.052362,0
1595,1e-12,1,0.0082521,0.052362,0
1595,1e-08,1,0.0082521,0.052362,0
1595,1e-05,1,0.00825311,0.0523685,0
1595,0.0001,1,0.0082622,0.0524267,0
1595,0.001,1,0.00835168,0.052999,0
1595,0.01,1,0.00913688,0.0580297,0
1600,1e-16,1,0.00849666,0.0539165,0
1600,1e-12,1,0.00849666,0.0539165,0
1600,1e-08,1,0.00849666,0.0539165,0
1600,1e-05,1,0.00849762,0.0539226,0
1600,0.0001,1,0.00850624,0.0539778,0
1600,0.001,1,0.00859125,0.0545219,0
1600,0.01,1,0.00934433,0.0593491,0
